costo,tiempo
2707, 1184
5905, 623
5905, 623
2707, 1184
4128, 703
5862, 674
4102, 751
3093, 841
2900, 1040
2920, 942
3093, 841
4102, 751
2874, 1088
2733, 1136
2952, 889
2733, 1136
2874, 1088
4108, 746
2926, 937
2946, 894
3087, 846
5862, 674
3087, 846
2920, 942
2926, 937
4108, 746
2946, 894
5905, 623
2707, 1184
3093, 841
4102, 751
2733, 1136
2874, 1088
2946, 894
5862, 674
3087, 846
2920, 942
2926, 937
4108, 746
5905, 623
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
2946, 894
3087, 846
2920, 942
2926, 937
2707, 1184
5905, 623
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
5905, 623
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
5905, 623
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
5905, 623
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2733, 1136
3087, 846
2920, 942
2926, 937
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2920, 942
2926, 937
3087, 846
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2920, 942
2926, 937
3087, 846
2707, 1184
3093, 841
4102, 751
5862, 674
4108, 746
2874, 1088
2920, 942
2926, 937
3087, 846
2707, 1184
3093, 841
4102, 751
2874, 1088
5862, 674
2920, 942
2926, 937
3087, 846
