costo,tiempo
7590, 276
5353, 1524
7590, 276
5353, 1524
7310, 572
5833, 785
5706, 1011
7310, 572
5633, 1228
5833, 785
7438, 346
5706, 1011
5385, 1430
7342, 478
5737, 917
7406, 422
5449, 1373
5802, 861
5480, 1298
5833, 786
7438, 346
5481, 1297
7590, 277
5633, 1229
7342, 478
7406, 422
5385, 1430
5737, 917
5802, 861
5449, 1373
7590, 277
5481, 1297
5633, 1229
5633, 1228
5353, 1524
7590, 276
7310, 572
5833, 785
5706, 1011
7438, 346
5481, 1297
7342, 478
7406, 422
5385, 1430
5737, 917
5449, 1373
5802, 861
7590, 277
5633, 1229
5633, 1228
5353, 1524
7590, 276
7310, 572
5833, 785
5706, 1011
7438, 346
5481, 1297
7342, 478
7406, 422
5385, 1430
5737, 917
5449, 1373
5802, 861
7590, 277
5633, 1228
5353, 1524
7590, 276
7310, 572
5833, 785
5706, 1011
5633, 1228
5481, 1297
7438, 346
7342, 478
7406, 422
5385, 1430
5737, 917
5449, 1373
5802, 861
7590, 277
5353, 1524
7590, 276
7310, 572
5833, 785
5706, 1011
5633, 1228
5481, 1297
7438, 346
7342, 478
7406, 422
5385, 1430
5737, 917
5449, 1373
5802, 861
7590, 277
5353, 1524
7590, 276
7310, 572
5706, 1011
5633, 1228
