costo,tiempo
10521, 1498
10027, 2771
10027, 2771
10521, 1498
10145, 2485
10411, 1753
10252, 2420
10404, 2193
10252, 2420
10398, 2198
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10521, 1498
10027, 2771
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10521, 1498
10027, 2771
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10521, 1498
10027, 2771
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10521, 1498
10027, 2771
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10521, 1498
10027, 2771
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
10411, 1753
10398, 2198
10404, 2193
10027, 2771
10521, 1498
10252, 2420
