costo,tiempo
13278, 3718
12557, 5640
12557, 5640
13278, 3718
13029, 3736
12770, 4033
12558, 5129
12904, 4009
12939, 3794
12610, 4963
12708, 4910
13029, 3736
12762, 4266
12711, 4842
12721, 4641
12724, 4573
12758, 4380
12606, 5031
12561, 5060
12724, 4573
12907, 3940
12907, 3940
12939, 3794
12758, 4380
12721, 4641
12711, 4842
12558, 5129
12762, 4266
12610, 4963
12708, 4910
12761, 4312
12759, 4334
12561, 5060
12606, 5031
12904, 4009
12759, 4334
12761, 4312
12557, 5640
13278, 3718
13029, 3736
12904, 4009
12724, 4573
12907, 3940
12939, 3794
12758, 4380
12721, 4641
12711, 4842
12558, 5129
12610, 4963
12708, 4910
12561, 5060
12606, 5031
12762, 4266
12759, 4334
12761, 4312
13278, 3718
12557, 5640
13029, 3736
12904, 4009
12724, 4573
12907, 3940
12939, 3794
12758, 4380
12721, 4641
12711, 4842
12558, 5129
12610, 4963
12708, 4910
12561, 5060
12606, 5031
12762, 4266
12759, 4334
12761, 4312
13278, 3718
12557, 5640
13029, 3736
12904, 4009
12724, 4573
12907, 3940
12939, 3794
12758, 4380
12721, 4641
12711, 4842
12558, 5129
12610, 4963
12708, 4910
12561, 5060
12606, 5031
12762, 4266
12759, 4334
12761, 4312
13278, 3718
12557, 5640
13029, 3736
12904, 4009
12724, 4573
12907, 3940
12939, 3794
12758, 4380
12721, 4641
