costo,tiempo
5222, 1455
10171, 892
5222, 1455
10171, 892
7370, 962
5361, 1367
9949, 930
5361, 1367
9949, 930
10171, 892
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
9949, 930
9949, 930
5222, 1455
5361, 1367
9949, 930
5222, 1455
