costo,tiempo
9229, 2589
9229, 2589
9509, 2271
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9398, 2430
9417, 2423
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9491, 2349
9456, 2408
9417, 2423
9398, 2430
9229, 2589
9287, 2567
9358, 2445
9398, 2430
9229, 2589
9287, 2567
9398, 2430
9456, 2408
