costo,tiempo
9043, 873
6641, 2475
9043, 873
6641, 2475
8121, 932
7906, 1198
7071, 1287
6834, 1779
6674, 2069
6856, 1554
6650, 2289
6650, 2289
8014, 1149
6963, 1505
8037, 976
6987, 1331
6762, 1841
6747, 2007
7906, 1198
7071, 1287
8039, 955
6762, 1841
6769, 1782
8121, 932
8118, 935
6737, 2061
6998, 1307
7068, 1291
6747, 2007
6745, 2046
6963, 1505
8014, 1149
6779, 1779
6901, 1539
7951, 1183
6987, 1331
8037, 976
7951, 1183
6901, 1539
6946, 1531
7996, 1175
6856, 1554
6988, 1311
6936, 1534
7986, 1178
6674, 2069
6998, 1307
8118, 935
8039, 955
7068, 1291
6745, 2046
7996, 1175
6946, 1531
6834, 1779
6737, 2061
7986, 1178
6936, 1534
6769, 1782
6779, 1779
6988, 1311
6641, 2475
9043, 873
6650, 2289
7906, 1198
7071, 1287
6762, 1841
8121, 932
6747, 2007
6963, 1505
8014, 1149
6987, 1331
8037, 976
7951, 1183
6901, 1539
6856, 1554
6674, 2069
6998, 1307
8118, 935
8039, 955
7068, 1291
6745, 2046
7996, 1175
6946, 1531
6834, 1779
6737, 2061
7986, 1178
6936, 1534
6769, 1782
6779, 1779
6988, 1311
9043, 873
6641, 2475
6650, 2289
7906, 1198
7071, 1287
6762, 1841
8121, 932
6747, 2007
6963, 1505
8014, 1149
