costo,tiempo
9031, 3787
58190, 1167
58190, 1167
9031, 3787
11481, 1169
10257, 2245
9183, 3364
10257, 2245
11044, 1542
10321, 1956
11108, 1254
11044, 1542
10694, 1757
9056, 3584
9045, 3754
9132, 3391
9095, 3499
9095, 3499
9056, 3584
9183, 3364
10694, 1757
11257, 1189
10663, 1795
10372, 1929
11159, 1227
10545, 1822
10470, 1892
10513, 1859
10470, 1892
10513, 1859
9045, 3754
11159, 1227
10372, 1929
10596, 1795
11108, 1254
10321, 1956
9132, 3391
10545, 1822
11257, 1189
11450, 1176
11450, 1176
11481, 1169
10596, 1795
10663, 1795
9031, 3787
58190, 1167
10257, 2245
11044, 1542
9095, 3499
9056, 3584
9183, 3364
10694, 1757
10470, 1892
10513, 1859
11159, 1227
10372, 1929
11108, 1254
10321, 1956
9132, 3391
10545, 1822
11257, 1189
11450, 1176
11481, 1169
10596, 1795
10663, 1795
9031, 3787
58190, 1167
10257, 2245
11044, 1542
9095, 3499
9056, 3584
9183, 3364
10694, 1757
10470, 1892
10513, 1859
11159, 1227
10372, 1929
11108, 1254
10321, 1956
9132, 3391
10545, 1822
11257, 1189
11450, 1176
11481, 1169
10596, 1795
10663, 1795
9031, 3787
58190, 1167
10257, 2245
11044, 1542
9095, 3499
9056, 3584
9183, 3364
10694, 1757
10470, 1892
10513, 1859
11159, 1227
10372, 1929
11108, 1254
10321, 1956
