costo,tiempo
5853, 1830
7511, 764
7511, 764
5853, 1830
6563, 801
6357, 960
5955, 1580
6357, 960
6126, 1374
6220, 1137
6563, 801
6224, 1099
5958, 1543
6097, 1489
6224, 1099
5955, 1580
6220, 1137
6126, 1374
6119, 1387
6101, 1451
5958, 1543
6097, 1489
6101, 1451
6119, 1387
7511, 764
5853, 1830
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
5853, 1830
7511, 764
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
7511, 764
5853, 1830
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
5853, 1830
7511, 764
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
7511, 764
5853, 1830
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
7511, 764
5853, 1830
6357, 960
6563, 801
6224, 1099
5955, 1580
6220, 1137
6126, 1374
5958, 1543
6097, 1489
6101, 1451
6119, 1387
7511, 764
5853, 1830
6357, 960
6563, 801
