costo,tiempo
7665, 775
6349, 1447
6349, 1447
7665, 775
7071, 1253
7400, 842
7400, 842
7071, 1253
7664, 787
7404, 809
6614, 1296
6810, 1286
6876, 1263
6449, 1331
6614, 1296
6353, 1415
6448, 1342
6353, 1415
6448, 1342
6810, 1286
6876, 1263
6449, 1331
7404, 809
7664, 787
6352, 1426
7403, 820
7403, 820
6352, 1426
6349, 1447
7665, 775
7400, 842
7071, 1253
6614, 1296
6353, 1415
6448, 1342
6810, 1286
6876, 1263
6449, 1331
7404, 809
7664, 787
7403, 820
6352, 1426
7665, 775
6349, 1447
7400, 842
7071, 1253
6614, 1296
6353, 1415
6448, 1342
6810, 1286
