costo,tiempo
10293, 1987
9258, 6622
10293, 1987
9258, 6622
9562, 3947
9530, 6278
10007, 3649
10007, 3649
9715, 3866
9491, 6282
9384, 6404
9740, 3736
9854, 3730
9893, 3655
9384, 6404
9297, 6617
9297, 6617
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9530, 6278
9740, 3736
9258, 6622
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9530, 6278
9740, 3736
9258, 6622
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9530, 6278
9740, 3736
9258, 6622
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9530, 6278
9740, 3736
9258, 6622
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9530, 6278
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9740, 3736
9258, 6622
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9530, 6278
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9740, 3736
10293, 1987
9258, 6622
10007, 3649
9384, 6404
9297, 6617
9530, 6278
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9740, 3736
10293, 1987
10007, 3649
9384, 6404
9297, 6617
9530, 6278
9562, 3947
9715, 3866
9854, 3730
9893, 3655
9740, 3736
10293, 1987
