costo,tiempo
17872, 2558
13558, 4415
13558, 4415
17872, 2558
14330, 3741
16922, 3421
16158, 3523
16997, 2775
17870, 2655
14330, 3741
17030, 2711
13807, 4134
16158, 3523
16366, 3474
13807, 4134
13747, 4165
13628, 4379
16366, 3474
16922, 3421
13747, 4165
17006, 2773
17030, 2711
13628, 4379
17870, 2655
13601, 4387
16997, 2775
13601, 4387
17006, 2773
13558, 4415
17872, 2558
14330, 3741
16158, 3523
13807, 4134
16366, 3474
16922, 3421
13747, 4165
17030, 2711
13628, 4379
17870, 2655
16997, 2775
13601, 4387
17006, 2773
13558, 4415
17872, 2558
14330, 3741
13807, 4134
16366, 3474
16922, 3421
13747, 4165
17030, 2711
13628, 4379
17870, 2655
16997, 2775
13601, 4387
17006, 2773
17872, 2558
14330, 3741
13807, 4134
16366, 3474
13747, 4165
17030, 2711
17870, 2655
16997, 2775
13601, 4387
17006, 2773
17872, 2558
14330, 3741
13747, 4165
17030, 2711
17870, 2655
16366, 3474
16997, 2775
13601, 4387
17006, 2773
17872, 2558
14330, 3741
13747, 4165
17030, 2711
17870, 2655
16366, 3474
16997, 2775
13601, 4387
17006, 2773
17872, 2558
16366, 3474
14330, 3741
16997, 2775
13601, 4387
13747, 4165
17030, 2711
17870, 2655
17006, 2773
17872, 2558
16366, 3474
14330, 3741
16997, 2775
13601, 4387
13747, 4165
17030, 2711
17870, 2655
