costo,tiempo
7920, 2765
8815, 997
8815, 997
7920, 2765
8025, 1747
8013, 2406
8572, 1143
8386, 1407
8572, 1143
8133, 1448
8286, 1440
8047, 1722
8111, 1472
8386, 1407
7928, 2680
8748, 1084
8005, 2490
8612, 1099
7928, 2680
8005, 2490
8688, 1098
8363, 1438
8286, 1440
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
7926, 2749
8012, 2475
8612, 1099
8382, 1426
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8363, 1438
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
7920, 2765
8815, 997
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
8363, 1438
8815, 997
7920, 2765
8572, 1143
8386, 1407
7928, 2680
8005, 2490
8111, 1472
8047, 1722
8748, 1084
8688, 1098
8013, 2406
8612, 1099
8133, 1448
8025, 1747
8363, 1438
8012, 2475
7926, 2749
8286, 1440
8286, 1440
