population-50,population-100,population-200
342341241.9199999,347658208.52,362944666.91999996
308369814.12000006,314865292.72,301351730.31999993
337848331.12,331212200.5200001,350677668.91999996
366515146.72000015,355899836.11999995,205069612.32
326835323.12,300554916.32000005,310947989.9200002
343829950.12000006,306939430.92,320620783.32
330091567.52000004,365970690.9200001,322023949.12
324793850.32,364013585.7199999,278656828.32000005
301280693.5200001,337036967.91999996,325961583.11999995
362967387.92,333241150.7199999,319601808.91999996
299878363.72,333000439.5200001,354618313.72
310955967.7200001,291030509.32,302258907.32
300911404.52000004,356906330.9200001,343801944.31999993
291599213.1200001,334844513.7200001,293119258.31999993
349460257.31999993,356363635.1200002,345144174.32
348183927.52,299189963.5199999,373242066.12
324166317.52000004,364155444.7199999,339300039.32000005
337695996.7199999,265445849.52000004,325103137.31999993
310897885.7199998,363081046.32000005,351919097.52000004
337188869.92,310224914.9199999,358963560.92
312001482.5200001,335651266.12,358021829.7199999
283289342.9200001,246002473.92000005,330582664.7200001
360965782.9199999,323490902.91999996,310682139.92
349723064.7199999,347143748.52000004,271089779.5200001
305599518.7200001,320942153.32,301378829.72
278427544.92,289574660.91999996,317805291.9200001
363678138.12000006,354906768.32,322661199.52000004
348309916.32,342644460.32,325055627.71999985
324813543.52000004,326495972.32000005,345856083.91999996
328452570.5200001,332107737.72,337974209.31999993
