costo,tiempo
11047, 6017
20992, 2090
20992, 2090
11047, 6017
13778, 2600
20976, 2115
11228, 4433
11493, 3930
12017, 3432
11228, 4433
11325, 3966
13778, 2600
20976, 2115
13031, 2754
13664, 2686
12577, 3228
12932, 2954
12577, 3228
11493, 3930
12499, 3337
12017, 3432
12979, 2942
12932, 2954
12185, 3396
13664, 2686
12499, 3337
13031, 2754
12185, 3396
11325, 3966
12140, 3419
12979, 2942
12140, 3419
20979, 2114
20979, 2114
20992, 2090
11047, 6017
11228, 4433
13778, 2600
20976, 2115
12577, 3228
11493, 3930
12017, 3432
12932, 2954
13664, 2686
12499, 3337
13031, 2754
12185, 3396
11325, 3966
12140, 3419
20979, 2114
11047, 6017
20992, 2090
11228, 4433
13778, 2600
20976, 2115
12932, 2954
12577, 3228
11493, 3930
12017, 3432
13664, 2686
13031, 2754
12499, 3337
12185, 3396
11325, 3966
12140, 3419
20979, 2114
20992, 2090
11047, 6017
11228, 4433
13778, 2600
20976, 2115
12932, 2954
12577, 3228
11493, 3930
12017, 3432
13664, 2686
13031, 2754
12499, 3337
12185, 3396
11325, 3966
12140, 3419
20979, 2114
11047, 6017
20992, 2090
11228, 4433
13778, 2600
20976, 2115
12932, 2954
12577, 3228
11493, 3930
12017, 3432
13664, 2686
13031, 2754
12499, 3337
12185, 3396
11325, 3966
12140, 3419
20979, 2114
11047, 6017
20992, 2090
